,city,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
218,Barcelona, Sant Gervasi - Galvany,good condition,Flat,3,104,Yes,exterior, floor 2,660000
219,Barcelona, Pedralbes,good condition,House,9,605,No,exterior,Multiple,4500000
220,Barcelona, Pedralbes,good condition,House,7,900,No,exterior,Multiple,10000000
221,Barcelona, Les Tres Torres,good condition,House,2,224,No,exterior,Multiple,2750000
222,Barcelona, El Camp d'En Grassot i Gràcia Nova,good condition,House,3,134,No,exterior,Multiple,780000
223,Barcelona, La Teixonera,good condition,House,3,79,No,exterior,Multiple,199520
224,Barcelona, Pedralbes,good condition,House,5,340,No,exterior,Multiple,2060000
225,Barcelona, El Putxet i el Farró,good condition,House,5,248,No,exterior,Multiple,1950000
226,Barcelona, Sant Gervasi - La Bonanova,good condition,House,6,474,No,exterior,Multiple,2350000
227,Barcelona, La Tr,good condition,Flat,3,104,No,exterior, floor 3,176000
228,Barcelona, El Fort Pienc,good condition,Flat,3,78,Yes,exterior, floor 2,499000
229,Barcelona, El Camp d'En Grassot i Gràcia Nova,good condition,Flat,3,97,Yes,exterior, floor 5,339000
230,Barcelona, Pedralbes,good condition,House,4,185,No,exterior,Multiple,860000
231,Barcelona, El Putxet i el Farró,good condition,Flat,4,107,Yes,exterior, floor 4,460000
232,Barcelona,Vila de Gràcia,good condition,Flat,2,65,Yes,exterior, floor 2,245000
233,Barcelona,La Maternitat i Sant Ramon,good condition,Flat,4,101,Yes,exterior, floor 3,437000
234,Barcelona,El Gu,good condition,Flat,1,56,Yes,interior, floor 4,169000
235,Barcelona,El Putxet i el Farró,good condition,Flat,2,70,Yes,exterior, floor 1,385000
236,Barcelona,El Clot,good condition,Penthouse,3,99,Yes,exterior, floor 9,430000
237,Barcelona,Sant Gervasi - La Bonanova,good condition,Flat,3,125,Yes,exterior, floor 1,590000
238,Barcelona,El Fort Pienc,good condition,Flat,1,77,Yes,exterior,mezzanine,350000
239,Barcelona,Sant Gervasi - Galvany,good condition,Flat,3,120,Yes,exterior, floor 2,1200000
240,Barcelona, El Raval,good condition,Flat,3,117,Yes,exterior, floor 2,540000
241,Barcelona,Sant Gervasi - La Bonanova,good condition,Flat,5,242,Yes,exterior, floor 5,980000
242,Barcelona,Sant Gervasi - Galvany,good condition,Flat,4,180,Yes,exterior, floor 4,860000
243,Barcelona, Sant Gervasi - La Bonanova,good condition,Penthouse,3,151,Yes,exterior, floor 7,690000
244,Barcelona, El Putxet i el Farró,good condition,Penthouse,2,151,Yes,exterior, floor 7,690000
245,Barcelona,La Dreta de l'Eixample,good condition,Flat,2,100,Yes,exterior, floor 4,640000
246,Barcelona,La Dreta de l'Eixample,good condition,Penthouse,3,95,Yes,exterior, floor 6,790000
247,Barcelona, El Gòtic,good condition,Flat,3,145,No,exterior, floor 2,560000
248,Barcelona, Vallcarca i els Penitents,good condition,Penthouse,2,108,Yes,exterior, floor 3,530000
249,Barcelona,Les Corts,good condition,Flat,2,82,Yes,exterior, floor 4,862000
250,Barcelona,Les Corts,good condition,Flat,2,98,Yes,exterior, floor 2,595000
251,Barcelona,La Dreta de l'Eixample,good condition,Flat,2,125,Yes,interior,mezzanine,890000
252,Barcelona,Les Corts,good condition,Flat,2,67,Yes,exterior, floor 2,365000
253,Barcelona,La Nova Esquerra de l'Eixample,good condition,Penthouse,4,118,Yes,exterior, floor 8,650000
254,Barcelona,Sant Pere - Santa Cater,good condition,Flat,4,140,Yes,exterior,mezzanine,795000
255,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,4,85,Yes,exterior, floor 2,420000
256,Barcelona,Sant Gervasi - Galvany,good condition,Flat,5,200,Yes,exterior, floor 2,1400000
257,Barcelona,Sants,good condition,Flat,3,88,Yes,exterior, floor 4,365000
258,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,2,139,Yes,exterior, floor 2,595000
259,Barcelona, calle P,good condition,Flat,3,104,Yes,exterior, floor 2,480000
260,Barcelona,La Mar,good condition,Penthouse,2,59,Yes,exterior, floor 9,255000
261,Barcelona, Sant Antoni,good condition,Flat,1,46,Yes,interior,ground floor,165000
262,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,2,71,Yes,exterior, floor 4,369000
263,Barcelona, La Dreta de l'Eixample,good condition,Flat,4,136,Yes,exterior, floor 2,745000
264,Barcelona, Vila de Gràcia,good condition,Penthouse,3,99,Yes,exterior, floor 6,650000
265,Barcelona, La Dreta de l'Eixample,good condition,Penthouse,3,99,Yes,exterior, floor 6,650000
266,Barcelona, La Sagrada Família,good condition,Duplex,4,800,Yes,exterior,ground floor,1700000
267,Barcelona, L'Antiga Esquerra de l'Eixample,good condition,Flat,3,133,Yes,exterior, floor 2,750000
268,Barcelona, La Sagrada Família,good condition,Flat,3,385,No,exterior,ground floor,1450000
269,Barcelona,El Camp de l'Arpa del Clot,good condition,Flat,3,75,Yes,interior,mezzanine,230000
270,Barcelona,La Dreta de l'Eixample,good condition,Flat,2,105,Yes,exterior, floor 5,565000
271,Barcelona,El Parc i la Llacuna del Poblenou,good condition,Flat,1,62,Yes,exterior, floor 1,390000
272,Barcelona,El Clot,good condition,Flat,3,84,No,exterior, floor 1,290000
273,Barcelona,Les Corts,good condition,Flat,4,101,Yes,exterior, floor 2,525000
274,Barcelona,Les Corts,good condition,Flat,3,92,Yes,exterior, floor 6,375000
275,Barcelona,Les Corts,good condition,Flat,3,88,Yes,exterior, floor 4,365000
276,Barcelona,El Clot,good condition,Flat,2,45,Yes,exterior, floor 2,209000
277,Barcelona,La Sagrada Família,good condition,Flat,1,59,Yes,exterior, floor 1,199900
278,Barcelona,Can Baró,good condition,Semi-detached,4,250,No,exterior,Multiple,795000
279,Barcelona,Sant Antoni,good condition,Flat,3,85,Yes,exterior, floor 2,389000
280,Barcelona, calle de la Mar,good condition,Flat,2,93,Yes,exterior,mezzanine,675000
281,Barcelona,Navas,good condition,Flat,4,87,Yes,exterior, floor 3,307000
282,Barcelona,El Gu,good condition,Flat,3,76,Yes,exterior, floor 4,269000
283,Barcelona,La Dreta de l'Eixample,good condition,Flat,4,179,Yes,exterior, floor 2,765000
284,Barcelona,L'Antiga Esquerra de l'Eixample,good condition,Flat,4,149,Yes,exterior, floor 3,710000
285,Barcelona,Les Corts,good condition,Flat,1,51,Yes,exterior, floor 1,280000
286,Barcelona,Sant Gervasi - Galvany,good condition,Flat,4,152,Yes,exterior, floor 3,695000
287,Barcelona,Sant Antoni,good condition,Flat,3,84,Yes,exterior, floor 1,359000
288,Barcelona,Sarrià,good condition,Flat,3,92,Yes,exterior,ground floor,598000
289,Barcelona,La Nova Esquerra de l'Eixample,good condition,Flat,3,75,Yes,exterior, floor 4,365000
290,Barcelona,Les Corts,good condition,Flat,1,49,Yes,exterior, floor 2,315000
