,prices,address,description
126,"259,500€","Flat / Apartment in calle de Rubió i Ors, 8, El Guinardó, Barcelona",4 bed 89 m² Floor 1 exterior with lift 
127,"475,000€","Duplex in calle de Pere IV, El Poblenou, Barcelona",3 bed 185 m² Ground floor exterior without lift 
128,"150,000€","Flat / Apartment in rambla de Prim, El Besòs, Barcelona",3 bed 72 m² Floor 10 exterior with lift 
129,"152,000€","Flat / Apartment in El Poble Sec - Parc de Montjuïc, Barcelona",3 bed 68 m² Floor 3 exterior without lift 
130,"118,000€","Flat / Apartment in calle dels Salvador, El Raval, Barcelona",2 bed 42 m² Floor 2 exterior without lift 
131,"930,000€","Flat / Apartment in Les Tres Torres, Barcelona",5 bed 215 m² Floor 2 exterior with lift 
132,"800,000€","Flat / Apartment in Enric Granados, L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 159 m² Floor 4 exterior with lift 
133,"300,000€","Flat / Apartment in Sants, Sants, Barcelona",3 bed 93 m² Floor 3 exterior with lift 
134,"430,000€","Flat / Apartment in El Fort Pienc, Barcelona",4 bed 98 m² Floor 3 exterior with lift 
135,"510,000€","Flat / Apartment in El Putxet i el Farró, Barcelona",5 bed 132 m² Floor 3  with lift 
136,"850,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 109 m²  exterior with lift 
137,"750,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",6 bed 205 m²  exterior with lift 
138,"359,300€","Flat / Apartment in La Nova Esquerra de l'Eixample, Barcelona",4 bed 99 m² Floor 4 exterior with lift 
139,"1,395,000€","Flat / Apartment in La Dreta de l'Eixample, Barcelona",5 bed 207 m²  exterior with lift 
140,"360,000€","Flat / Apartment in avenida de Josep Tarradellas, La Nova Esquerra de l'Eixample, Barcelona",3 bed 87 m² Floor 1 exterior with lift 
141,"358,000€","Flat / Apartment in calle del Carme, El Raval, Barcelona",5 bed 110 m² Floor 4 exterior with lift 
142,"259,500€","Flat / Apartment in calle de Rubió i Ors, 8, El Guinardó, Barcelona",4 bed 86 m² Floor 1  
143,"430,000€","Flat / Apartment in paseo de Sant Joan, La Dreta de l'Eixample, Barcelona",4 bed 100 m² Mezzanine exterior with lift 
144,"360,000€","Flat / Apartment in calle d'Entença, 20, Sant Antoni, Barcelona",3 bed 95 m² Floor 6 exterior with lift 
145,"490,000€","Flat / Apartment in paseo de Sant Joan, La Dreta de l'Eixample, Barcelona",4 bed 102 m² Floor 4 exterior with lift 
146,"340,000€","Flat / Apartment in calle dels Sagristans, 5, El Gòtic, Barcelona",4 bed 114 m² Floor 2 exterior with lift 
147,"695,000€","Flat / Apartment in L'Antiga Esquerra de l'Eixample, Barcelona",5 bed 164 m²  exterior with lift 
148,"205,000€","Flat / Apartment in bisbe laguarda, El Raval, Barcelona",3 bed 62 m² Floor 2 exterior with lift 
149,"380,000€","Flat / Apartment in calle de Laforja, Sant Gervasi - Galvany, Barcelona",2 bed 65 m² Floor 2 exterior with lift 
150,"500,000€","Penthouse in via Augusta, El Putxet i el Farró, Barcelona",3 bed 114 m² Floor 8 exterior with lift 
151,"1,200,000€","Flat / Apartment in calle del Doctor Ferran, Pedralbes, Barcelona",5 bed 202 m² Floor 3 exterior with lift 
152,"169,900€","Flat / Apartment in calle de Cantàbria, Sant Martí de Provençals, Barcelona",3 bed 76 m² Floor 5 exterior with lift 
153,"215,000€","Flat / Apartment in calle del Pacífic, La Sagrera, Barcelona",3 bed 70 m² Floor 4 exterior with lift 
154,"189,000€","Flat / Apartment in carretera de la Bordeta, Hostafrancs, Barcelona",2 bed 73 m² Floor 4 exterior with lift 
155,"259,000€","Flat / Apartment in calle de Bac de Roda, Sant Martí de Provençals, Barcelona",4 bed 100 m² Floor 2 exterior with lift 
156,"135,000€","Duplex in calle de Santa Madrona, El Raval, Barcelona",70 m² Ground floor exterior without lift 
157,"2,400,000€","Penthouse in via Augusta, Sant Gervasi - Galvany, Barcelona",6 bed 406 m² Floor 5 exterior with lift 
158,"710,000€","Flat / Apartment in calle de Pau Claris, La Dreta de l'Eixample, Barcelona",3 bed 119 m² Floor 2 exterior with lift 
159,"169,000€","Flat / Apartment in calle de Cantàbria, La Verneda i la Pau, Barcelona",3 bed 70 m² Floor 5 exterior with lift 
160,"165,000€","Flat / Apartment in PERONELLA, 29, Sant Andreu, Barcelona",3 bed 71 m² Floor 1 exterior without lift 
161,"205,000€","Flat / Apartment in calle de Berenguer de Palou, 141, La Sagrera, Barcelona",3 bed 65 m² Floor 1 exterior with lift 
162,"890,000€","Penthouse in Sant Gervasi - Galvany, Barcelona",3 bed 211 m² Floor 9 exterior with lift 
163,"455,000€","Flat / Apartment in Sant Antoni, Barcelona",3 bed 124 m² Floor 2 exterior with lift 
164,"790,000€","Penthouse in La Dreta de l'Eixample, Barcelona",3 bed 120 m²  exterior with lift 
165,"950,000€","Penthouse in Sant Pere - Santa Caterina i la Ribera, Barcelona",4 bed 260 m²  exterior 
166,"340,000€","Flat / Apartment in Gran Via de les Corts Catalanes, Sant Antoni, Barcelona",3 bed 78 m² Floor 5 exterior with lift 
167,"450,000€","Flat / Apartment in Gran Via de les Corts Catalanes, Sant Antoni, Barcelona",4 bed 124 m² Floor 1 exterior with lift 
168,"395,000€","Flat / Apartment in calle de Balmes, 180, Sant Gervasi - Galvany, Barcelona",3 bed 110 m² Floor 3 exterior with lift 
169,"385,000€","Flat / Apartment in avenida de Josep Tarradellas, La Nova Esquerra de l'Eixample, Barcelona",3 bed 87 m² Floor 4 exterior with lift 
170,"1,050,000€","Detached house in Passatge de Montornès, Vallcarca i els Penitents, Barcelona",7 bed 420 m² 
171,"179,000€","Flat / Apartment in calle de la Riera d'Horta, El Congrés i els Indians, Barcelona",3 bed 65 m² Floor 4 exterior with lift 
172,"325,000€","Flat / Apartment in calle d'Aragó, El Clot, Barcelona",4 bed 78 m² Floor 7 exterior with lift 
173,"1,050,000€","Flat / Apartment in Gran Via de les Corts Catalanes, La Dreta de l'Eixample, Barcelona",5 bed 283 m² Floor 2 exterior with lift 
174,"850,000€","Flat / Apartment in calle d'Aribau, L'Antiga Esquerra de l'Eixample, Barcelona",5 bed 150 m² Floor 4 exterior with lift 
175,"2,750,000€","Flat / Apartment in paseo de Gràcia, La Dreta de l'Eixample, Barcelona",4 bed 250 m² Floor 3 exterior with lift 
176,"780,000€","Flat / Apartment in calle de Calàbria, Sant Antoni, Barcelona",6 bed 185 m² Floor 1 exterior with lift 
177,"595,000€","Flat / Apartment in calle de Còrsega, La Dreta de l'Eixample, Barcelona",5 bed 173 m² Mezzanine exterior with lift 
178,"450,000€","Flat / Apartment in calle d'Homer, El Putxet i el Farró, Barcelona",5 bed 123 m² Floor 1 exterior with lift 
179,"830,000€","Flat / Apartment in calle del Capità Arenas, Pedralbes, Barcelona",5 bed 165 m² Floor 1 exterior with lift 
180,"275,000€","Flat / Apartment in calle Provenza, La Nova Esquerra de l'Eixample, Barcelona",3 bed 74 m² Floor 1 exterior with lift 
181,"555,000€","Flat / Apartment in Gran Via de les Corts Catalanes, La Nova Esquerra de l'Eixample, Barcelona",4 bed 158 m² Floor 4 exterior with lift 
182,"550,000€","Flat / Apartment in Gran Via de les Corts Catalanes, La Nova Esquerra de l'Eixample, Barcelona",3 bed 152 m² Floor 4 exterior with lift 
183,"289,000€","Flat / Apartment in calle de Martínez de la Rosa, Vila de Gràcia, Barcelona",2 bed 70 m² Floor 4 exterior without lift 
184,"550,000€","Flat / Apartment in avenida de Sarrià, L'Antiga Esquerra de l'Eixample, Barcelona",5 bed 158 m² Floor 1 exterior with lift 
185,"582,000€","Flat / Apartment in calle de Valencia, L'Antiga Esquerra de l'Eixample, Barcelona",4 bed 140 m² Floor 3 exterior with lift 
186,"199,000€","Flat / Apartment in ronda de Sant Pau, Sant Antoni, Barcelona",2 bed 77 m² Floor 4 exterior without lift 
