,prices,address,description
175,"1,150,000€","Flat / Apartment in paseo de Manuel Girona, Sarrià, Barcelona",4 bed 217 m² Floor 4 exterior with lift 
176,"1,454,000€","Flat / Apartment in calle de Can Segalar, Les Corts, Barcelona",3 bed 121 m² Floor 6 exterior with lift 
177,"1,082,000€","Flat / Apartment in calle de Can Segalar, Les Corts, Barcelona",3 bed 95 m² Floor 5 exterior with lift 
178,"690,000€","Flat / Apartment in calle de Còrsega, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 125 m² Floor 5 exterior with lift 
179,"348,000€","Flat / Apartment in Calabria, La Nova Esquerra de l'Eixample, Barcelona",2 bed 71 m² Floor 3 exterior with lift 
180,"490,000€","Flat / Apartment in calle d'Homer, El Putxet i el Farró, Barcelona",3 bed 90 m² Ground floor exterior without lift 
181,"760,000€","Flat / Apartment in calle d'Enric Granados, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 90 m² Floor 3 exterior with lift 
182,"1,325,000€","Flat / Apartment in calle de la Diputació, L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 148 m² Mezzanine exterior with lift 
183,"1,095,000€","Flat / Apartment in calle de Provença, La Dreta de l'Eixample, Barcelona",5 bed 206 m² Floor 4 exterior with lift 
184,"790,000€","Penthouse in calle de Bac de Roda, Diagonal Mar i el Front Marítim del Poblenou, Barcelona",4 bed 147 m² Floor 5  with lift 
185,"339,000€","Penthouse in calle d'Avinyó, El Gòtic, Barcelona",2 bed 81 m² Floor 5  without lift 
186,"975,000€","Flat / Apartment in Enrique Granados, 57, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 118 m² Floor 3 exterior with lift 
187,"586,000€","Flat / Apartment in calle de Jaume Vicens i Vives, La Vila Olímpica del Poblenou, Barcelona",3 bed 111 m² Floor 4 exterior with lift 
188,"465,000€","Flat / Apartment in Lepanto, La Sagrada Família, Barcelona",3 bed 121 m² Floor 1 exterior with lift 
189,"499,000€","Flat / Apartment in La Salut, Barcelona",3 bed 91 m² Floor 1 exterior with lift 
190,"384,900€","Flat / Apartment in Marina, 247, La Sagrada Família, Barcelona",2 bed 75 m² Floor 5 exterior with lift 
191,"549,000€","Flat / Apartment in calle de Londres, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 118 m²  interior with lift 
192,"405,000€","Flat / Apartment in avenida de Josep Tarradellas, La Nova Esquerra de l'Eixample, Barcelona",3 bed 93 m² Floor 8 exterior with lift 
193,"149,000€","Flat / Apartment in calle de Peris i Mencheta, La Font d'En Fargues, Barcelona",2 bed 64 m² Ground floor exterior without lift 
194,"850,000€","Flat / Apartment in calle de Bailèn, La Dreta de l'Eixample, Barcelona",3 bed 138 m² Floor 2 exterior with lift 
195,"735,000€","Flat / Apartment in calle de Balmes, Sant Gervasi - Galvany, Barcelona",3 bed 126 m² Floor 1 exterior with lift 
196,"795,000€","Flat / Apartment in calle de Balmes, Sant Gervasi - Galvany, Barcelona",3 bed 130 m² Floor 1 exterior with lift 
197,"599,000€","Flat / Apartment in calle de París, L'Antiga Esquerra de l'Eixample, Barcelona",2 bed 132 m² Mezzanine exterior with lift 
198,"895,000€","Flat / Apartment in calle d'Aribau, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 135 m² Floor 4 exterior with lift 
199,"615,000€","Flat / Apartment in calle de Balmes, Sant Gervasi - Galvany, Barcelona",3 bed 115 m² Floor 4 exterior with lift 
200,"630,000€","Flat / Apartment in calle San Elías, Sant Gervasi - Galvany, Barcelona",4 bed 144 m² Floor 4 exterior with lift 
201,"825,000€","Flat / Apartment in calle d'Aribau, L'Antiga Esquerra de l'Eixample, Barcelona",3 bed 141 m² Floor 3 exterior with lift 
202,"749,000€","Flat / Apartment in calle de Santaló, Sant Gervasi - Galvany, Barcelona",3 bed 128 m² Floor 4 exterior with lift 
203,"1,350,000€","Flat / Apartment in Gran Via de Carles III, Pedralbes, Barcelona",4 bed 225 m² Floor 1 exterior with lift 
204,"599,000€","Flat / Apartment in Gran Via de les Corts Catalanes, El Fort Pienc, Barcelona",3 bed 158 m² Floor 4 exterior with lift 
205,"595,000€","Flat / Apartment in calle de Muntaner, Sant Gervasi - Galvany, Barcelona",2 bed 102 m² Floor 4 exterior with lift 
206,"1,600,000€","Flat / Apartment in calle de Pau Claris, La Dreta de l'Eixample, Barcelona",3 bed 173 m² Floor 4 exterior with lift 
207,"745,000€","Flat / Apartment in calle del Rosselló, La Dreta de l'Eixample, Barcelona",4 bed 136 m² Mezzanine exterior with lift 
208,"529,000€","Flat / Apartment in El Parc i la Llacuna del Poblenou, Barcelona",4 bed 112 m² Floor 1  with lift 
209,"280,000€","Flat / Apartment in Vilapicina i la Torre Llobeta, Barcelona",4 bed 80 m² Floor 3  with lift 
210,"175,000€","Flat / Apartment in Vallcarca i els Penitents, Barcelona",1 bed 48 m² Floor -1  with lift 
